NUM	12	1	car il avait pris une femme Cuschite	prise	incise
NUM	13	16	Jésus	Josué	glose
NUM	13	22	Hébron fut bâtie sept ans avant Tsoan d'Egypte	d'Anak	incise
NUM	13	23	de la grappe	d'Escol	glose
NUM	14	45	extermination	Korma	glose
NUM	16	6	Coré et toute son assemblée	encensoirs	incise
NUM	18	2	attachement	Lévi	glose
NUM	18	16	il est de vingt guéras	sanctuaire	incise
NUM	20	13	contestation	Mériba	glose
NUM	21	3	extermination	Korma	glose
NUM	21	16	puits	Béer	glose
NUM	21	30	Hesçbon est perdue !	percés	incise
NUM	23	14	des sentinelles	Tsophim	glose
NUM	27	1	et voici les noms de ses filles : Makla, Noa, Hogla, Milca et Thirtsa	s'approchèrent	incise
NUM	27	14	contestation	Mériba	glose
NUM	32	33	aux fils de Gad et aux fils de Ruben, et à la moitié de la tribu de Manassé, fils de Joseph	donna,	incise
NUM	32	38	dont les noms furent changés	Baal-Méon	incise
NUM	33	36	c'est Kadesch	Tsin	incise
NUM	34	11	Génézareth	Kinnéreth	glose
NUM	35	19	C'est le rédempteur du sang qui fera mourir le meurtrier ; quand il le rencontrera, c'est lui qui le fera mourir		incise
DEU	2	11	des géants	Réphaïtes	glose
DEU	3	9	Les Sidoniens appellent l'Hermon Sirion, et les Amoréens l'appellent Sénir.		incise
DEU	3	11	géants	Réphaïtes	glose
DEU	3	17	Génézareth	Kinnéreth	glose
DEU	3	19	je sais que vous avez des troupeaux nombreux	troupeaux	incise
DEU	4	48	c'est l'Hermon	Scion	incise
DEU	11	2	car [je ne parle] pas à vos fils, qui n'ont point connu et n'ont point vu la correction de l'Eternel, votre Dieu	aujourd'hui	incise
DEU	13	5	qui vous a fait sortir de la terre d'Egypte et qui vous a rachetés de la maison des esclaves	Dieu,	incise
DEU	14	29	car il n'a ni part ni héritage avec toi	viendra	incise
DEU	16	9	tu commenceras à compter sept semaines dès qu'on commencera [à mettre] la faucille dans les blés	semaines	incise
DEU	17	5	soit l'homme, soit la femme	chose,	incise
DEU	19	9	parce que tu auras gardé pour le pratiquer tout ce commandement, que je te commande aujourd'hui, en aimant l'Eternel, ton Dieu, et en marchant dans ses chemins à toujours		incise
DEU	23	4	Mésopotamie	fleuves	glose
DEU	30	20	car c'est lui qui est ta vie et la longueur de tes jours	lui	incise
DEU	32	15	Israël	Jéschuroun	glose
DEU	33	5	Israël	Jéschuroun	glose
DEU	33	8	perfections et lumières	Ourim	glose
DEU	33	8	tentation	Massa,	glose
DEU	33	8	contestation	Mériba	glose
JOS	1	1	Jésus	Josué	glose
JOS	3	15	or le Jourdain remplit toutes ses rives, tous les jours de la moisson	eaux	incise
JOS	5	3	la colline des circoncis	Guibeath-araloth	glose
JOS	5	9	roulement	Guilgal	glose
JOS	7	26	du trouble	d'Acor	glose
